item_code, item_name, search_key, issue_method, reorder_quantity, item_quantity, isPhysical, isActive, from_bom, creadet_date, created_time, created_user, modified_date, modified_time, modified_user, remark, sub_category_code, rack_slot_code, buying_uom, selling_uom, issue_method_issue_method_id, item_type_code, base_item, brand_code
ITM1000,GREESE MP2,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,GREESE MP2,SUB1003,SLT1000,UOM1003,UOM1004,1,,ITP1001,
ITM1001,GREESE MP2 100G,,,10,100,1,1,0,10/1/2017,18:33:38,1,,,0,GREESE MP2 100G,SUB1003,SLT1000,UOM1003,UOM1004,1,,ITP1000,BRN1055
ITM1002,DIFFERENTIAL GEAR OIL 85W90 GL-5,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,DIFFERENTIAL GEAR OIL 85W90 GL-5,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1003,GEAR OIL MP140 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,GEAR OIL MP140 1L,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1004,GL5  EP 80W90 5L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,GL5  EP 80W90 5L,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1005,GL5 EP GEAR OIL 80W90,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,GL5 EP GEAR OIL 80W90,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1006,HONDA CVT GEAR OIL 3.5L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,HONDA CVT GEAR OIL 3.5L,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1007,LIMITED SLIP GEAR OIL 80W-90,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,LIMITED SLIP GEAR OIL 80W-90,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1008,LSD GEAR OIL GL5 85W90 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,LSD GEAR OIL GL5 85W90 1L,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1009,TOYOTA LIMITED SLIP GEAR OIL,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,TOYOTA LIMITED SLIP GEAR OIL,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1010,VALVOLINE 80W-90 (LSD) GEAR OIL,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,VALVOLINE 80W-90 (LSD) GEAR OIL,SUB1002,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1011,HEAVY DUTY DIESEL ENGINE OIL 15W40 5L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,HEAVY DUTY DIESEL ENGINE OIL 15W40 5L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1012,FULL SERVICE CAR,,,0,1,1,1,0,10/1/2017,19:34:12,1,,,0,FULL SERVICE FOR CARS,SUB1035,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1013,LANKA SUPER DS30 5L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,LANKA SUPER DS30 5L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1014,MOBIL 10W-40 1L SN/CF,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL 10W-40 1L SN/CF,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1015,MOBIL 10W-40 4L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL 10W-40 4L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1016,MOBIL FULLY SYNTHETIC 5W30 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL FULLY SYNTHETIC 5W30 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1017,MOBIL FULLY SYNTHETIC 5W50 4L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL FULLY SYNTHETIC 5W50 4L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1018,MOBIL MX 15W40 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL MX 15W40 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1019,MOBIL SUPER 1000 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL SUPER 1000 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1020,MOBIL SUPER 1000 4L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL SUPER 1000 4L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1021,MOBIL SUPER 2000 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOBIL SUPER 2000 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1022,MOTOR OIL DIESEL CF 10W30 4L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOTOR OIL DIESEL CF 10W30 4L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1023,MOTOR OIL SL/CF 10W30 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,MOTOR OIL SL/CF 10W30 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1024,SUPER PLUS 40 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,SUPER PLUS 40 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1025,TURBO HEAVY DUTY DIESEL ENGINE OIL 15W40 1L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,TORBO HEAVY DUTY DIESEL ENGINE OIL 15W40 1L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
ITM1026,TURBO HEAVY DUTY DIESEL ENGINE OIL 15W40 5L,,1,10,1,1,1,0,1/1/2017,12:00:00,1,1/1/2017,12:00:00,1,TURBO HEAVY DUTY DIESEL ENGINE OIL 15W40 5L,SUB1001,SLT1000,UOM1000,UOM1000,1,,ITP1000,
