"brand_code";"brand_name";"created_date";"created_time";"created_user";"modified_date";"modified_time";"modified_user";"remark"
"BRN1000";"3M";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"3M"
"BRN1001";"ABRO";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"ABRO"
"BRN1002";"AUTO BEST";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"AUTO BEST"
"BRN1003";"AUTOMAX";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"AUTOMAX"
"BRN1004";"BG";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BG"
"BRN1005";"BONELESS";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BONELESS"
"BRN1006";"BOSCH";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BOSCH"
"BRN1007";"BRITOL";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BRITOL"
"BRN1008";"C&P";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"C&P"
"BRN1009";"CALTEX";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CALTEX"
"BRN1010";"CASTROL";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CASTROL"
"BRN1011";"CHAINA FILTER";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CHAINA FILTER"
"BRN1012";"CHARGE";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CHARGE"
"BRN1013";"COIL MAT";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"COIL MAT"
"BRN1014";"COLD GUARD";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"COLD GUARD"
"BRN1015";"CYCLO";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CYCLO"
"BRN1016";"DASH";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"DASH"
"BRN1017";"D-FRESH";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"D-FRESH"
"BRN1018";"EAGLE";"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"EAGLE"
