"sub_category_code";"sub_category_name";"isActive";"created_date";"created_time";"created_user";"modified_date";"modified_time";"modified_user";"remarks";"category_category_code";"printer_printer_code"
"SUB1000";"BRACK OIL";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BRACK OIL";"CAT1002";"PRN1000"
"SUB1001";"ENGIN OIL";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"ENGIN OIL";"CAT1002";"PRN1000"
"SUB1002";"GEAR OIL";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"GEAR OIL";"CAT1002";"PRN1000"
"SUB1003";"GREESE";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"GREESE";"CAT1002";"PRN1000"
"SUB1004";"POWER STEERING  OIL";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"POWER STEERING  OIL";"CAT1002";"PRN1000"
"SUB1005";"AC FILTER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"AC FILTER";"CAT1001";"PRN1000"
"SUB1006";"AIR FILTER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"AIR FILTER";"CAT1001";"PRN1000"
"SUB1007";"FUEL  FILTER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"FUEL  FILTER";"CAT1001";"PRN1000"
"SUB1008";"OIL FILTER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"OIL FILTER";"CAT1001";"PRN1000"
"SUB1009";"PAWER STEERING FILTER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"PAWER STEERING FILTER";"CAT1001";"PRN1000"
"SUB1010";"AIR FRESHENER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"AIR FRESHENER";"CAT1000";"PRN1000"
"SUB1011";"BATTERY ACID";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BATTERY ACID";"CAT1000";"PRN1000"
"SUB1012";"CAR WASH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CAR WASH";"CAT1000";"PRN1000"
"SUB1013";"DISTILLED WATER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"DISTILLED WATER";"CAT1000";"PRN1000"
"SUB1014";"EFI CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"EFI CLEANER";"CAT1000";"PRN1000"
"SUB1015";"ENGINE FLUSH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"ENGINE FLUSH";"CAT1000";"PRN1000"
"SUB1016";"GLASS CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"GLASS CLEANER";"CAT1000";"PRN1000"
"SUB1017";"INJECTOR CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"INJECTOR CLEANER";"CAT1000";"PRN1000"
"SUB1018";"MOTOR FLUSH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"MOTOR FLUSH";"CAT1000";"PRN1000"
"SUB1019";"OIL TREATMENT";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"OIL TREATMENT";"CAT1000";"PRN1000"
"SUB1020";"RADIATOR COOLANT";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"RADIATOR COOLANT";"CAT1000";"PRN1000"
"SUB1021";"REDIATOR FLUSH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"REDIATOR FLUSH";"CAT1000";"PRN1000"
"SUB1022";"UNDER WASH CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"UNDER WASH CLEANER";"CAT1000";"PRN1000"
"SUB1023";"UPHOLSTERY CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"UPHOLSTERY CLEANER";"CAT1000";"PRN1000"
"SUB1024";"WINDSCREEN CLEANER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"WINDSCREEN CLEANER";"CAT1000";"PRN1000"
"SUB1025";"CARPET";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CARPET";"CAT1005";"PRN1000"
"SUB1026";"GREES  NIPPLE";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"GREES  NIPPLE";"CAT1005";"PRN1000"
"SUB1027";"RADIATOR CAP";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"RADIATOR CAP";"CAT1005";"PRN1000"
"SUB1028";"SAMP NUTS";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"SAMP NUTS";"CAT1005";"PRN1000"
"SUB1029";"SILANSER END";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"SILANSER END";"CAT1005";"PRN1000"
"SUB1030";"STEERING WEEL COVER";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"STEERING  WEEL COVER";"CAT1005";"PRN1000"
"SUB1031";"WIPER BLADE";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"WIPER BLADE";"CAT1005";"PRN1000"
"SUB1032";"BODY WASH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"BODY WASH";"CAT1004";"PRN1000"
"SUB1033";"CVT OIL CHANGING";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"CVT OIL CHANGING";"CAT1004";"PRN1000"
"SUB1034";"ENGINE WASH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"ENGINE WASH";"CAT1004";"PRN1000"
"SUB1035";"FULL SERVICE";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"FULL SERVICE";"CAT1004";"PRN1000"
"SUB1036";"INTERIOR CLEAN";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"INTERIOR CLEAN";"CAT1004";"PRN1000"
"SUB1037";"UNDERWASH";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"UNDERWASH";"CAT1004";"PRN1000"
"SUB1038";"VACUUM CLEAN";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"VACUUM CLEAN";"CAT1004";"PRN1000"
"SUB1039";"TOWEL";1;"2017-01-01";"12:00:00";1;"2017-01-01";"12:00:00";1;"TOWEL";"CAT1003";"PRN1000"
